,target
1628,0.015420861
1629,0.014706932
1630,0.016491754
1631,0.019775826
1632,0.01563504
1633,0.020204184
1634,0.023202684
1635,0.031841222
1636,0.026915114
1637,0.022060398
1638,0.042478761
1639,0.089169701
1640,0.10716071
1641,0.065038909
1642,0.088598558
1643,0.12336689
1644,0.14942529
1645,0.16477476
1646,0.17969587
1647,0.19790105
1648,0.19654458
1649,0.17976726
1650,0.13450418
1651,0.087599058
1652,0.094024416
1653,0.13864496
1654,0.1533519
1655,0.10252017
1656,0.077889627
1657,0.066680945
1658,0.073677447
1659,0.082173199
1660,0.086742343
1661,0.073320483
1662,0.065110302
